Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
Enter the Anime,Documentary,58,2.5,English/Japanese,August,5,2019
Dark Forces,Thriller,81,2.6,Spanish,August,21,2020
The App,Science fiction/Drama,79,2.6,Italian,December,26,2019
The Open House,Horror thriller,94,3.2,English,January,19,2018
Kaali Khuhi,Mystery,90,3.4,Hindi,October,30,2020
Drive,Action,147,3.5,Hindi,November,1,2019
Leyla Everlasting,Comedy,112,3.7,Turkish,December,4,2020
The Last Days of American Crime,Heist film/Thriller,149,3.7,English,June,5,2020
Paradox,Musical/Western/Fantasy,73,3.9,English,March,23,2018
Sardar Ka Grandson,Comedy,139,4.1,Hindi,May,18,2021
Searching for Sheela,Documentary,58,4.1,English,April,22,2021
The Call,Drama,112,4.1,Korean,November,27,2020
Whipped,Romantic comedy,97,4.1,Indonesian,September,18,2020
All Because of You,Action comedy,101,4.2,Malay,October,1,2020
Mercy,Thriller,90,4.2,English,November,22,2016
After the Raid,Documentary,25,4.3,Spanish,December,19,2019
Ghost Stories,Horror anthology,144,4.3,Hindi,January,1,2020
The Last Thing He Wanted,Political thriller,115,4.3,English,February,21,2020
What Happened to Mr. Cha?,Comedy,102,4.3,Korean,January,1,2021
Death Note,Horror thriller,100,4.4,English,August,25,2017
"Hello Privilege. It's Me, Chelsea",Documentary,64,4.4,English,September,13,2019
Secret Obsession,Thriller,97,4.4,English,July,18,2019
Sextuplets,Comedy,99,4.4,English,August,16,2019
The Girl on the Train,Thriller,120,4.4,Hindi,February,26,2021
Thunder Force,Superhero-Comedy,105,4.4,English,April,9,2021
Fatal Affair,Thriller,89,4.5,English,July,16,2020
Just Say Yes,Romantic comedy,97,4.5,Dutch,April,2,2021
Seriously Single,Comedy,107,4.5,English,July,31,2020
The Misadventures of Hedi and Cokeman,Comedy,99,4.5,French,February,10,2021
5 Star Christmas,Comedy,95,4.6,Italian,December,7,2018
After Maria,Documentary,37,4.6,English/Spanish,May,24,2019
I Am the Pretty Thing That Lives in the House,Horror,89,4.6,English,October,28,2016
Paris Is Us,Romance drama,83,4.6,French,February,22,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,46,4.6,Portuguese,December,3,2019
Rattlesnake,Horror,85,4.6,English,October,25,2019
The Players,Comedy,88,4.6,Italian,July,15,2020
We Are One,Documentary,86,4.6,French,July,14,2020
Finding Agnes,Drama,105,4.7,Filipino,November,30,2020
IO,Science fiction/Drama,95,4.7,English,January,18,2019
Sentinelle,Action,80,4.7,French,March,5,2021
Sol Levante,Anime / Short,4,4.7,English,April,2,2020
The Binding,Drama,93,4.7,Italian,October,2,2020
We Can Be Heroes,Superhero,100,4.7,English,December,25,2020
Christmas Crossfire,Thriller,106,4.8,German,December,4,2020
Coin Heist,Heist,97,4.8,English,January,6,2017
Mrs. Serial Killer,Thriller,106,4.8,Hindi,May,1,2020
Nobody Sleeps in the Woods Tonight,Horror,103,4.8,Polish,October,28,2020
Take the 10,Comedy,80,4.8,English,January,20,2017
The Main Event,Comedy,101,4.8,English,April,10,2020
The Ridiculous 6,Western,119,4.8,English,December,11,2015
Earth and Blood,Action,80,4.9,French,April,17,2020
Fearless,Animation/Superhero,89,4.9,English,August,14,2020
Holiday Rush,Family film,94,4.9,English,November,28,2019
The Day of the Lord,Drama,93,4.9,Spanish,October,30,2020
Airplane Mode,Comedy,96,5.0,Portuguese,January,23,2020
How It Ends,Action-thriller,113,5.0,English,July,13,2018
Love Like the Falling Rain,Drama,86,5.0,Indonesian,October,15,2020
Rebirth,Thriller,100,5.0,English,July,15,2016
Squared Love,Romantic comedy,102,5.0,Polish,February,11,2021
Cadaver,Horror,86,5.1,Norwegian,October,22,2020
Clinical,Thriller,104,5.1,English,January,13,2017
Coffee & Kareem,Action comedy,88,5.1,English,April,3,2020
Dude,Teen comedy-drama,97,5.1,English,April,20,2018
Geez & Ann,Romantic drama,105,5.1,Indonesian,February,25,2021
The Larva Island Movie,Animation,90,5.1,English,July,23,2020
#REALITYHIGH,Comedy,99,5.2,English,September,8,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,10,5.2,English,August,21,2019
Desperados,Romantic comedy,106,5.2,English,July,3,2020
Dolly Parton's Christmas on the Square,Christmas musical,98,5.2,English,November,22,2020
Father of the Year,Comedy,94,5.2,English,July,20,2018
Firebrand,Drama,112,5.2,Marathi,February,22,2019
Ghost Lab,Horror,117,5.2,Thai,May,26,2021
Girlfriend's Day,Comedy,70,5.2,English,February,14,2017
Handsome: A Netflix Mystery Movie,Comedy,81,5.2,English,May,5,2017
Hubie Halloween,Comedy,103,5.2,English,October,7,2020
Ibiza,Comedy,94,5.2,English,May,25,2018
Rim of the World,Science fiction adventure,98,5.2,English,May,24,2019
Sandy Wexler,Comedy,131,5.2,English,April,14,2017
See You Yesterday,Science fiction,87,5.2,English,May,17,2019
Still Laugh-In: The Stars Celebrate,Variety show,60,5.2,English,May,14,2019
"Strip Down, Rise Up",Documentary,112,5.2,English,February,5,2021
Tall Girl,Comedy-drama,102,5.2,English,September,13,2019
The Beast,Drama,99,5.2,Italian,November,27,2020
The Week Of,Comedy,116,5.2,English,April,27,2018
A Christmas Prince: The Royal Wedding,Romantic comedy,92,5.3,English,November,30,2018
Back to School,Comedy,83,5.3,French,August,30,2019
Dangerous Lies,Thriller,97,5.3,English,April,30,2020
Gunjan Saxena: The Kargil Girl,Drama,112,5.3,Hindi,August,12,2020
Intuition,Thriller,116,5.3,Spanish,May,28,2020
The Most Assassinated Woman in the World,Thriller,102,5.3,French,September,7,2018
Things Heard & Seen,Horror,121,5.3,English,April,29,2021
"To Each, Her Own",Romantic comedy,95,5.3,French,June,24,2018
Who Would You Take to a Deserted Island?,Drama,93,5.3,Spanish,April,12,2019
XOXO,Drama,92,5.3,English,August,26,2016
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,98,5.4,English,October,15,2020
A Christmas Prince: The Royal Baby,Romantic comedy,85,5.4,English,December,5,2019
Despite Everything,Comedy,78,5.4,Spanish,May,3,2019
